video_id,title,url,view_count,genre,country
SAatIvgtUBk,Golden Soul & Funk Ballads 1970 | Curtis Mayfield Inspired ✨ Vintage Chicago Grooves [Lost Album],https://www.youtube.com/watch?v=SAatIvgtUBk,11658,soul,Unknown
nhIwC5ja6AQ,Rarest of the Rare Northern Soul,https://www.youtube.com/watch?v=nhIwC5ja6AQ,3135,soul,Unknown
7WKT0cLXvzc,Romantic Chicago Soul (1970s) | I Saw My Faith in You – A Lost Curtis Mayfield Collaboration,https://www.youtube.com/watch?v=7WKT0cLXvzc,2784,soul,Unknown
LIS_w-aSO5U,Soul Duets Ballad  – Timeless 1970s Soul Classics | Every heart deserves a home,https://www.youtube.com/watch?v=LIS_w-aSO5U,7577,soul,Unknown
KFZohTcH-Lo,Northern Soul 20 - Six Original Rare Crackers,https://www.youtube.com/watch?v=KFZohTcH-Lo,12840,soul,Unknown
uff5LwyMlqY,"FLOWERS - FOR REAL      ""RARE SOUL""",https://www.youtube.com/watch?v=uff5LwyMlqY,4318,soul,Unknown
9hqD0M2WshA,Rare Soul Disco Funk 12 She - Easy Money,https://www.youtube.com/watch?v=9hqD0M2WshA,552,soul,Unknown
qXOXsQMa_PU,Cool Rare Northern Soul for the Connoisseur,https://www.youtube.com/watch?v=qXOXsQMa_PU,1302,soul,Unknown
hIoYvdLLPPM,Rare Soul Funk 45 Bob Williams - I'm Alright,https://www.youtube.com/watch?v=hIoYvdLLPPM,773,soul,Unknown
TbVm7v3Zn4c,🎵70s & 80s Soul & Funk Groove Vibes – Vinyl Nights #9 -  How Look At Us,https://www.youtube.com/watch?v=TbVm7v3Zn4c,314,soul,Unknown
t_Uv3aSur0Q,🎵70s & 80s Soul & Funk Groove Vibes – Vinyl Nights #11 -  Rhythm On The Rise,https://www.youtube.com/watch?v=t_Uv3aSur0Q,360,soul,Unknown
mUytgaPTwQQ,Vinyl Nights #7🎵70s & 80s Soul & Funk Groove Vibes – Real Love Every Day,https://www.youtube.com/watch?v=mUytgaPTwQQ,409,soul,Unknown
i_yEM0_SO58,Inner Soul - Put The Hurt On You [Cherrie] 1976 Sweet Soul Funk 45,https://www.youtube.com/watch?v=i_yEM0_SO58,7533,soul,Unknown
